"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202605","2호선","상왕십리","17","2","5807","953","15104","6681","40873","11447","61178","28031","38043","18748","26286","14588","23219","14498","24887","15784","23421","18008","21650","20280","22325","23717","24095","29102","26043","38697","26804","53225","18997","37034","13214","26642","11198","25179","7575","23010","3219","14163","459","4136","0","14","0","0","0","0","20260603"
"202605","2호선","서울대입구(관악구청)","4100","35","27883","2895","45668","15118","119921","29794","164414","75009","121475","71378","77525","59056","69135","51915","78134","56497","79069","60380","71989","61162","76466","69949","81159","81886","90237","110060","96663","163406","59535","129360","51593","89931","50295","89725","42992","88013","23150","52551","4187","20476","0","2994","0","0","0","0","20260603"
"202605","2호선","서초","4","0","1836","5453","9380","25930","19063","53476","27653","107350","29402","83164","23089","43702","33191","36059","30694","27554","37419","28592","38588","28621","45879","22746","52443","24836","72338","26587","86504","28296","40559","19999","30256","13283","30426","12115","19675","11328","6103","6337","927","1377","0","0","0","0","0","0","20260603"
"202605","2호선","선릉","175","8","4852","5903","12003","45131","23298","118444","36288","254821","37483","193629","41896","97965","51698","65382","62874","62144","69316","71025","78295","56311","99739","53567","122999","52801","196607","58912","260765","57788","135060","38011","93430","26746","83804","24487","69742","20893","23512","12682","3828","4743","1","57","0","0","0","0","20260603"
"202605","2호선","성수","65","2","5118","5683","8904","44587","20452","74841","27426","236051","24792","192221","27531","152541","37592","150829","54433","151216","74015","155430","98235","148169","131118","140726","165941","126834","217976","116456","293990","100992","198233","60596","168505","32705","138274","21694","85208","15945","27264","12299","2901","7334","5","1105","0","0","0","0","20260603"
"202605","2호선","시청","21","0","976","2601","2402","23812","5196","70371","9523","201697","14286","84784","21437","34442","27534","31880","28877","30825","34468","32696","40711","27092","49586","24600","61235","23449","109023","24776","154022","23332","59734","13594","48942","9675","42291","9746","25900","7996","9990","4693","1208","1264","0","42","0","0","0","0","20260603"
"202605","2호선","신답","6","1","1090","115","2045","512","6286","1093","10546","1540","5166","1096","3338","1148","2825","1339","2837","1633","2686","1750","2335","2255","2241","3134","2246","4252","2426","5244","2159","10043","1179","6742","792","4108","632","4229","410","3404","185","2327","47","523","0","0","0","0","0","0","20260603"
"202605","2호선","신당","35","2","5853","1638","11908","8314","29776","15554","50695","30087","31700","22143","24089","20175","22984","22580","25906","24261","26355","25272","25699","26319","27216","28823","29443","34076","32958","44682","34126","57303","24842","39595","21179","27893","19433","24931","17041","21845","9258","13932","1530","3966","3","29","0","0","0","0","20260603"
"202605","2호선","신대방","241","5","23448","2314","34190","10130","85660","14469","122877","24533","83142","19420","51157","19652","42097","20317","41815","23709","38843","27357","33744","31833","33079","40710","34758","48336","33834","61520","31073","90263","20906","74361","16713","55969","13900","60696","10515","57335","5596","33663","923","9042","1","186","0","0","0","0","20260603"
"202605","2호선","신도림","4553","37","38057","5942","57421","20960","134939","41541","142994","96056","95283","70042","72015","60032","70321","62336","79305","66584","78787","73976","78096","69640","80118","79897","87465","93394","105548","120464","112746","164807","68955","113543","57225","77180","57528","75138","53371","71862","21190","51892","2415","23069","10","2605","0","0","0","0","20260603"
"202605","2호선","신림","290","10","36653","4119","70067","19001","172838","30327","256686","43694","170320","44970","103434","45888","88815","49741","94251","56103","87857","64448","79388","69923","77711","88398","80736","106699","79989","138846","78926","219609","58762","182477","50008","136129","45073","131180","37655","124784","21618","82216","4016","23885","1","75","0","0","0","0","20260603"
"202605","2호선","신설동","33","1","1226","308","1807","1956","4675","5570","9213","13098","6481","10097","6313","9357","7651","8216","9111","8163","9823","8516","10148","7010","10419","6646","10961","6191","13418","6844","12843","7652","5551","5941","3649","4776","2830","4566","2066","4280","880","2811","104","940","2","127","0","0","0","0","20260603"
"202605","2호선","신정네거리","95","0","8772","918","18173","2829","47578","4655","41858","11765","25054","9210","19617","8587","17804","8887","17905","11223","16072","13084","13759","14139","12964","18630","13587","23850","12637","30710","11627","42815","7582","34816","5600","20664","4574","18608","3674","16558","1550","10811","238","2854","0","128","0","0","0","0","20260603"
"202605","2호선","신촌","73","5","8082","2771","15143","15492","35250","35585","52320","85379","44324","96250","46810","80397","55341","70911","66216","76291","71137","83013","73158","73348","82561","71463","95757","78845","112623","98597","104473","118400","77291","82837","81301","57443","85508","50784","86324","46014","46096","30492","6429","6756","1","52","0","0","0","0","20260603"
"202605","2호선","아현","7","0","4771","598","12028","5528","30365","11307","41603","20124","27428","15175","20725","13387","19945","11846","21611","13734","19343","15900","17676","16401","19423","18865","22363","21589","21641","27317","20214","35377","12934","25857","9948","19569","7822","18548","5835","17362","2448","9550","289","2357","0","6","0","0","0","0","20260603"
"202605","2호선","양천구청","60","1","5035","775","12226","2883","30657","5824","28543","9703","18231","5464","14027","4723","11824","5529","11897","7365","10652","9068","8899","10040","8754","12530","9056","15798","9235","21097","9183","28983","4546","22833","3323","14838","2772","13491","2319","10808","671","7831","165","2266","1","21","0","0","0","0","20260603"
"202605","2호선","역삼","17","2","3631","6738","9129","44653","15188","141310","25123","310279","25039","266950","27378","112023","34420","62838","41583","58472","49111","63127","59763","48910","75517","42304","100446","42024","201614","49733","238518","53804","133861","35015","79175","24398","72383","21263","48435","17882","18899","11016","2943","2907","1","13","0","0","0","0","20260603"
"202605","2호선","영등포구청","75","0","5926","4486","13760","15578","39627","38995","49121","119831","33378","53455","26679","30598","28264","27205","31395","28383","32316","30748","32725","29170","35985","30113","41982","34027","60433","41861","95582","58522","37888","39029","29933","26256","27382","24428","19669","21378","9254","14879","1543","4836","3","117","0","0","0","0","20260603"
"202605","2호선","왕십리(성동구청)","691","6","7068","1183","10840","7652","27215","14757","46313","28247","31685","21239","24075","17463","24414","19047","28424","21874","27652","22856","27141","23481","30086","26129","35207","31008","38602","40258","37337","55700","26116","36260","24898","26690","26751","24899","25043","23929","15679","16189","3273","5538","4","46","0","0","0","0","20260603"
"202605","2호선","용답","17","0","2513","297","3445","1274","7941","1896","13267","3897","7950","4955","6090","3405","5511","3036","6274","3587","5814","4330","5120","4208","5453","5116","6875","6590","6200","8015","4628","11676","3151","7994","2460","6586","1928","7290","1391","6527","600","4246","121","1025","0","1","0","0","0","0","20260603"
"202605","2호선","용두(동대문구청)","66","0","1190","133","1986","866","5248","2314","8731","4820","5843","2912","4410","2886","4260","3180","4373","3197","4358","3882","4208","3666","4472","4259","4685","4398","4610","5224","4730","8105","2156","5178","1435","3669","1170","3476","691","2757","229","1764","38","558","0","1","0","0","0","0","20260603"
"202605","2호선","을지로3가","28","1","1392","2096","3368","26813","6730","72468","14110","147658","20330","64535","26519","34155","28740","32314","30553","30870","33035","34725","37153","32815","42448","35449","52564","40186","98044","48773","124135","51573","55567","34612","47914","24000","52185","20238","45691","16825","26173","9941","4347","2189","2","75","0","0","0","0","20260603"
"202605","2호선","을지로4가","18","2","1287","1157","2498","15147","6263","32827","12374","67828","15985","36679","20259","26097","22883","26051","23040","24194","25580","23771","27295","23165","31642","22058","37157","21612","59760","22711","63677","22458","30460","16157","20807","13153","18110","13031","12645","11745","6407","7392","1018","1725","3","30","0","0","0","0","20260603"
"202605","2호선","을지로입구","136","2","3234","3389","5542","37537","12021","125126","20497","301944","31404","162333","38514","101047","50505","87830","56844","77994","69529","82405","82199","73106","97666","75422","118037","79544","191340","87951","259963","86340","141868","58544","143288","44094","102341","35805","83959","26915","37147","15258","4096","6805","0","938","0","0","0","0","20260603"
"202605","2호선","이대","6","1","3371","957","10501","7694","27551","15419","37622","43908","26400","55088","24004","43381","26242","32047","33391","36596","32575","37713","32260","29411","41336","31608","43369","32973","52634","40167","48229","49839","29209","36433","26968","27118","27340","26584","22339","26526","9087","18889","1086","4661","1","36","0","0","0","0","20260603"
"202605","2호선","잠실(송파구청)","56","3","14796","5281","54038","39302","118866","82926","162017","175117","123438","172395","95710","133599","98338","133704","112887","133700","124228","140321","137454","142280","174418","156325","188913","173920","215616","209473","235036","242994","177155","165445","178916","116229","166353","104173","111333","88880","35764","49550","4501","10511","2","107","0","0","0","0","20260603"
"202605","2호선","잠실나루","12","0","4229","2176","15873","11375","42700","23348","51336","37108","33995","24490","29400","19405","27805","17888","26341","21603","24717","23565","24572","23382","28058","24554","31502","27305","38510","34542","30829","44648","16649","33242","12717","23043","10023","21790","6777","20420","3029","10836","432","3196","0","48","0","0","0","0","20260603"
"202605","2호선","잠실새내","15","3","6447","1099","20348","10195","61694","16811","81597","29074","54502","31822","41288","27623","38103","30742","39514","37001","39568","40370","35836","43294","39465","50963","42960","60562","45333","72810","45415","86408","35647","60566","33080","40506","35145","36513","31875","32091","17132","17793","2764","5123","0","163","0","0","0","0","20260603"
"202605","2호선","종합운동장","37","1","1920","1712","6760","22203","16440","22927","22411","31096","16006","17241","13398","16299","13429","17855","16986","42394","17820","63294","16409","29776","21287","45016","44821","74663","82029","104640","26821","101737","32178","29233","59388","13936","136290","13723","40465","11280","4944","6018","426","1732","1","131","0","0","0","0","20260603"
"202605","2호선","충정로(경기대입구)","19","1","3200","1142","7079","8391","15296","24703","22200","54631","16318","25936","13400","13081","13580","11841","14305","12630","14068","15063","14498","13432","15954","14503","20105","15593","34858","18720","40287","22276","15574","15357","10653","12385","9526","12120","6240","10891","2797","6835","547","1940","1","32","0","0","0","0","20260603"
"202605","2호선","한양대","1","0","1393","754","3157","8173","5937","16786","9164","66522","8031","58379","10739","53576","16283","21702","21438","41953","19805","27963","26884","25586","35078","18921","46625","16559","53552","21520","43064","25824","23687","15125","22308","10336","23076","9163","17203","7920","17946","6022","3744","1682","4","9","0","0","0","0","20260603"
"202605","2호선","합정","127","10","13009","3205","18136","14089","38492","31191","48836","83512","35546","80627","31148","57709","33456","55767","40910","61826","45192","66495","47304","62456","52571","63875","62637","73442","80879","89227","106936","111261","78817","76252","72778","48044","77777","39216","72609","35481","37888","25163","5521","8682","3","287","0","0","0","0","20260603"
"202605","2호선","홍대입구","1047","47","29075","3998","32855","19093","59555","41570","77663","109897","66451","154835","66663","134594","74878","160207","89752","182452","105157","201151","122047","192635","147949","189099","181108","193876","206222","215935","222037","239368","194268","175568","197016","122181","215131","101800","206000","83258","102568","55528","11974","19716","5","2038","0","0","0","0","20260603"
"202604","2호선","강남","151","10","7495","12369","19413","54996","46771","175488","69742","352373","58519","353952","61278","162217","78264","107011","94814","104305","110937","117214","122180","107577","147237","102882","174319","111677","273002","144913","344042","182546","230248","107511","176960","65224","185404","55767","160220","48004","70791","23892","12351","6946","1","148","0","0","0","0","20260503"
"202604","2호선","강변(동서울터미널)","26","0","9318","1823","24135","20201","72252","23632","107574","41693","78129","34121","61283","32241","52541","30487","47579","34673","45003","39897","41837","44325","43914","53462","47434","57875","54413","73969","58455","95288","39085","64656","31276","46422","24738","37566","16349","32997","6202","16635","819","4600","1","88","0","0","0","0","20260503"
"202604","2호선","건대입구","302","7","14349","1840","24375","15262","62634","26693","101153","69729","70141","57196","47876","52897","44943","54294","53305","59613","58471","64942","60485","63862","65059","69993","73561","82858","86890","112460","98539","161290","75970","113850","77965","76020","83155","69442","78843","63600","47869","37832","8299","13264","16","1226","0","0","0","0","20260503"
"202604","2호선","교대(법원.검찰청)","15","1","2950","6965","11868","30930","29303","62362","39049","175596","33241","139680","30083","72851","35382","62213","36995","57216","45841","63006","53402","54703","58168","51324","64163","53159","104935","67846","145935","73972","65162","44274","56203","29313","54544","25990","38189","24100","15893","12578","3248","4069","3","17","0","0","0","0","20260503"
"202604","2호선","구로디지털단지","324","23","40192","5659","58629","22081","153661","92526","202398","238313","124207","143632","78685","61770","68712","48408","77883","53841","74509","67905","66344","63363","75591","72327","91095","87532","144845","121728","210681","174159","105524","133244","64674","94929","51833","91635","39725","86465","18703","51223","3671","16024","6","407","0","0","0","0","20260503"
"202604","2호선","구의(광진구청)","81","4","14558","1483","31997","15493","88399","23098","137163","51728","84565","29064","48927","26496","40594","29019","42160","32424","40964","34661","38708","36875","39924","46329","47225","53442","47430","77101","58852","118056","32705","85607","26488","57334","25136","54188","20459","49574","9734","27547","1717","8847","6","151","0","0","0","0","20260503"
"202604","2호선","낙성대(강감찬)","75","1","13399","2258","30667","10942","92398","24461","135693","47261","87505","39728","49775","32324","40682","27406","45515","30522","43769","33154","38977","34104","40521","41232","44160","48339","50026","68276","56832","108290","32998","90135","26761","61525","23504","58581","17702","57415","9049","34561","1706","10416","2","175","0","0","0","0","20260503"
"202604","2호선","당산","35","7","9033","3270","21438","13852","57469","31810","65995","83590","42244","34153","30326","19523","28041","19878","29266","23314","27419","26701","25278","27184","26793","32135","32204","40765","48431","58973","62944","83337","30626","56450","24752","38653","24069","37415","19320","33634","9971","21321","1728","5205","3","168","0","0","0","0","20260503"
"202604","2호선","대림(구로구청)","775","35","35369","3248","33307","11435","74734","25098","104420","57459","69198","35615","44341","34201","37555","35440","39992","35917","38947","36070","35354","37078","37950","47070","40311","53697","47014","67973","51885","74554","27782","55876","20704","44604","14807","53690","11201","48868","5838","24713","950","6203","5","330","0","0","0","0","20260503"
"202604","2호선","도림천","3","0","443","260","1572","1056","4198","6009","3834","8154","2765","3366","2778","2109","3948","1954","3041","2081","2485","3007","2865","2966","3658","2951","3955","3144","4291","3611","4893","4535","2113","3212","1538","2312","1298","1955","771","1558","255","969","64","324","0","18","0","0","0","0","20260503"
"202604","2호선","동대문역사문화공원(DDP)","191","20","4167","1184","4127","10210","7837","25215","14812","51355","18288","34290","21054","32291","23384","32698","26515","32357","27420","33696","30342","34515","38898","33501","44471","32782","50893","36523","50468","42266","36290","37685","29629","29246","26882","24422","20024","20751","11160","12706","2529","4248","5","157","0","0","0","0","20260503"
"202604","2호선","뚝섬","25","1","3941","2491","10796","16225","22508","48372","30668","157508","20701","108891","18458","52981","22196","44303","27565","44670","32300","44598","38499","40178","47432","41467","58321","42091","94544","46457","147175","55696","82123","33012","56255","19628","47191","16632","27499","14344","10280","8857","1694","2988","0","115","0","0","0","0","20260503"
"202604","2호선","문래","38","0","4325","3187","16509","13060","48521","44976","55821","145010","31731","64806","23736","27618","22571","24515","28189","27795","28357","29897","28710","27993","31543","30154","38659","36461","70775","47952","116108","70538","43718","46593","32808","26349","33613","22884","29644","19874","13277","11531","2500","4006","3","138","0","0","0","0","20260503"
"202604","2호선","방배","2","0","3025","4058","10462","15026","25703","32800","34753","84710","28554","67952","21549","39698","23934","32283","27464","32200","29647","28089","35415","27558","40353","26270","47274","27404","59970","35138","68364","39382","32522","26938","25947","18403","24715","16942","20019","17150","7677","9270","1737","2864","5","23","0","1","0","0","20260503"
"202604","2호선","봉천","98","4","15755","1403","32853","7129","95352","14000","131305","29133","81883","23190","46307","21000","38479","22965","40656","25466","38802","28278","33134","31824","31453","41677","33735","48584","33961","63578","34531","98749","21882","79640","18164","51901","15297","47556","10874","44052","5067","25542","943","8770","2","272","0","0","0","0","20260503"
"202604","2호선","사당","97","4","13455","4276","34574","39170","90355","58425","113646","84945","85273","61396","56573","51583","53609","62721","60944","62893","63955","60663","68464","60191","69784","72885","74438","98385","91205","143492","113360","194561","78514","128075","76146","82549","81933","75896","71541","72776","40042","41032","7038","12653","11","895","0","0","0","0","20260503"
"202604","2호선","삼성(무역센터)","129","5","4799","6919","7405","56821","15277","158722","21482","339656","22310","268570","27885","130814","41945","93204","55827","86514","72668","89440","89915","74896","113884","64157","153042","60120","253490","64193","305872","63655","160686","35357","123575","20621","100271","16859","67230","12637","16747","6837","2503","3885","3","1244","0","0","0","0","20260503"
"202604","2호선","상왕십리","11","2","5972","1043","16257","6617","47748","12353","71680","32032","41222","19827","25959","14306","22164","14135","23525","15594","21853","18185","20008","19354","21096","23842","23226","29383","26611","40939","28624","60271","20500","40664","13785","27581","11297","25628","7676","23727","3149","13830","586","4911","0","32","0","0","0","0","20260503"
"202604","2호선","서울대입구(관악구청)","4826","35","28970","2700","49534","14219","140906","32260","189418","83827","131145","74578","76627","61030","64771","49607","75130","53913","75068","58819","68698","59574","74209","68587","79208","81042","90953","113721","102304","179662","61591","143639","52790","95423","51799","89743","43856","88847","23548","51602","4834","19549","3","3257","0","0","0","0","20260503"
"202604","2호선","서초","2","0","1924","5982","13868","26818","24660","62836","32362","128969","31097","94277","25327","47705","33493","36725","30956","28562","38828","29625","40005","27932","48470","23576","56110","25608","82668","28031","101579","30381","45371","21077","32458","13755","30698","12258","18366","11804","5945","6137","1012","1674","0","10","0","0","0","0","20260503"
"202604","2호선","선릉","181","9","4650","6587","12684","49139","26081","140501","41152","309507","40501","226170","43618","106438","54572","68614","64612","65497","72478","75514","83284","59397","109720","55646","136722","53872","229964","62673","312189","64027","156398","42001","104051","27111","90314","24114","72776","22317","25068","12641","4280","5371","3","227","0","0","0","0","20260503"
"202604","2호선","성수","54","1","5181","6867","9460","45273","22962","84214","30661","279957","25508","194028","25673","131958","33885","125093","48414","125056","64472","129357","85545","125239","111091","120492","144316","112224","212531","107326","312087","101508","193449","60691","151744","31993","126014","21560","81108","16301","27072","11898","3626","6809","8","1280","0","0","0","0","20260503"
"202604","2호선","시청","35","0","864","2742","2383","25735","5503","84191","9791","246840","15288","97464","21390","34449","28151","31050","27969","30041","34476","31408","41138","26231","50760","23190","64833","21824","122944","24586","183981","24055","66694","13486","53060","9429","44793","9655","27530","7952","10268","4529","1500","1426","1","57","0","0","0","0","20260503"
"202604","2호선","신답","11","2","1149","115","2363","531","7326","1225","12764","2314","5519","1136","3220","1253","2643","1312","2708","1566","2496","1642","2154","2115","2064","3205","2519","4391","2477","5836","2252","11302","1188","7625","863","4346","554","4371","400","3597","194","2221","34","639","0","0","0","0","0","0","20260503"
"202604","2호선","신당","23","1","5983","1508","13153","8275","34738","16826","59651","33775","34417","22882","23917","19896","22695","21705","25238","22355","24511","23863","23979","24996","25743","27573","28638","32989","32930","44993","35592","63278","25447","42681","20957","27831","19751","25391","17122","22607","8920","13748","1842","4607","1","57","0","1","0","0","20260503"
"202604","2호선","신대방","276","3","24347","2109","37146","10012","98945","15502","138580","25989","87413","19240","49304","18815","39676","20078","40436","23806","38148","27474","32606","32295","32029","42073","33961","49688","33879","67010","32988","99482","21488","82218","16233","59529","13690","60736","10085","58195","5464","32963","1164","10212","3","286","1","1","0","0","20260503"
"202604","2호선","신도림","4536","23","40445","5516","64091","20762","160532","46002","162521","111665","100364","76842","71349","59015","67394","61819","75957","66516","75324","72911","74772","67501","78847","79279","87661","95633","108801","125477","122135","183767","72503","124089","58480","80789","59920","75355","54560","72181","21638","51483","3241","22965","17","2871","0","0","0","0","20260503"
"202604","2호선","신림","256","10","37949","3817","75568","18575","201763","32249","291555","46695","180040","44578","101475","43525","84288","46244","89939","52697","83318","60475","74403","66890","72476","85832","77234","105548","78739","146339","79180","239711","57322","202000","47926","141282","43793","132850","36576","126963","21395","81538","5014","27403","1","528","0","0","0","0","20260503"
"202604","2호선","신설동","47","0","1111","298","1937","1977","5454","6238","10914","14834","6590","10726","5979","8841","7086","7491","8274","7647","9121","8445","9193","6751","9750","6261","10156","5988","12885","6913","13178","8246","5666","6643","3474","5031","3008","4658","1879","4442","909","2732","133","921","1","164","0","0","0","0","20260503"
"202604","2호선","신정네거리","113","1","9147","953","20946","2661","56117","4861","48391","13704","26079","9493","19303","8361","17420","8888","17015","11079","16654","13442","13249","14396","12749","18770","12961","24373","12486","33406","12524","49992","7532","38848","5660","21858","4617","19111","3511","17191","1504","10993","302","3356","0","107","0","0","0","0","20260503"
"202604","2호선","신촌","46","5","6679","2911","15412","16083","40924","40614","59200","96212","46836","103501","46518","80941","55224","71287","65086","73750","71742","79716","73281","69111","83497","65430","96582","70909","115086","94267","109668","121177","79858","84275","81446","56162","84791","49954","80882","45188","38919","30826","7203","8391","7","236","0","0","0","0","20260503"
"202604","2호선","아현","10","2","4999","620","13385","5753","36200","13401","48980","22826","29870","16212","20219","13955","18758","11699","20984","14049","18258","15849","16425","15607","19556","18553","22596","21303","22343","28402","20814","38632","13456","28658","10013","20274","7913","18880","5678","17248","2390","9551","440","2904","0","34","0","0","0","0","20260503"
"202604","2호선","양천구청","38","2","5176","712","13893","3082","36964","6350","33161","11032","19114","5982","13308","4989","11188","5665","11897","7410","10743","9629","8506","9970","8825","12929","8968","16102","9645","22733","9930","32382","4707","26143","3382","16048","2765","14080","2314","10814","677","7867","163","2580","0","22","0","0","0","0","20260503"
